Plnt,Purch.doc.,Created on,vendor,POrg,Material,Commodity, Order quantity,GR qty,GR value,  Net price,Curr.,    Per,Mat. doc.,Pstg date,c
p20,EP1021015,2023-03-31,ssN0000005,sN01,ssN0000005sN01,commodity7,1,0.86,12083,14050,USD,1,ss03ss438812,Apr-23,
p20,EP1021015,2023-03-31,ssN0000005,sN01,ssN0000005sN01,commodity2,1,0.9,134293.15,149214.61,USD,1,ss03ss438812,Apr-23,
p20,EP1021015,2023-03-31,ssN0000005,sN01,ssN0000005sN01,commodity5,1,0.99,16662.69,16831,USD,1,ss03ss438812,Apr-23,
p20,EP1021015,2023-03-31,ssN0000005,sN01,ssN0000005sN01,commodity2,1,0.74,8300.82,11217.33,USD,1,ss03ss438812,Apr-23,
p20,EP1021015,2023-03-31,ssN0000005,sN01,ssN0000005sN01,commodity1,1,0.75,150615.74,200820.99,USD,1,ss03ss438812,Apr-23,
p20,po502133,2023-03-27,sCN0019658,sN01,sCN0019658sN01670833,commodity5,500000,445000,745375,1675,USD,1000,ss03ss424823,Apr-23,
p20,po502133,2023-03-27,sCN0019658,sN01,sCN0019658sN01670833,commodity7,500000,390000,653640,1676,USD,1000,ss03ss42ss236,Apr-23,
p20,po502133,2023-03-27,sCN0019658,sN01,sCN0019658sN01670833,commodity9,500000,375000,628875,1677,USD,1000,ss03ss449121,Apr-23,
p20,po502133,2023-03-27,sCN0019658,sN01,sCN0019658sN01670833,commodity5,500000,480000,805440,1678,USD,1000,ss03ss449082,Apr-23,
p20,po502133,2023-03-27,sCN0019658,sN01,sCN0019658sN01670833,commodity1,500000,425000,714000,1680,USD,1000,ss03ss464774,Apr-23,
p20,po510142,2023-03-31,sHK0010210,sN01,sHK0010210sN012351400,commodity8,300000,240000,231249.6,963.54,USD,1000,ss03ss427ss16,Apr-23,
p20,po510560,2023-04-17,sHK0010210,sN01,sHK0010210sN012351400,commodity9,300000,225000,216900,964,USD,1000,ss03ssss03888,Apr-23,
p20,po510559,2023-04-17,sHK0010210,sN01,sHK0010210sN012351400,commodity4,200000,172000,165980,965,USD,1000,ss03ssss12636,Apr-23,
p20,po510289,2023-04-06,sHK0010210,sN01,sHK0010210sN014210232,commodity4,1002000,741480,734806.68,991,USD,1000,ss03ss444194,Apr-23,
p20,po510289,2023-04-06,sHK0010210,sN01,sHK0010210sN014210232,commodity7,1002000,951900,944284.8,992,USD,1000,ss03ss462842,Apr-23,
p20,po510373,2023-04-11,sHK0010210,sN01,sHK0010210sN014210232,commodity10,1002000,931860,926268.84,994,USD,1000,ss03ss484388,Apr-23,
p20,po510031,2023-03-26,sHK0010210,sN01,sHK0010210sN019794T82,commodity2,7000,5110,5896.94,1154,USD,1000,ss03ss464362,Apr-23,
p20,po510031,2023-03-26,sHK0010210,sN01,sHK0010210sN019794T82,commodity8,17800,16554,19119.87,1155,USD,1000,ss03ss464362,Apr-23,
p20,po510158,2023-04-02,sHK0010210,sN01,sHK0010210sN019794T82,commodity1,14400,11808,13650.05,1156,USD,1000,ss03ssssss0ss07,Apr-23,
p20,po510277,2023-04-06,sHK0010210,sN01,sHK0010210sN019794T82,commodity8,24900,20916,24199.81,1157,USD,1000,ss03ssss61740,Apr-23,
p20,po510277,2023-04-06,sHK0010210,sN01,sHK0010210sN019794T82,commodity9,4700,4277,4952.77,1158,USD,1000,ss03ssss61740,Apr-23,
p20,po509444,2023-02-23,sHK0010210,sN01,sHK0010210sN019794T83,commodity2,31300,30361,35188.4,1159,USD,1000,ss03ss411694,Apr-23,
p20,po509534,2023-03-02,sHK0010210,sN01,sHK0010210sN019794T83,commodity2,23000,22540,26146.4,1160,USD,1000,ss03ss41169ss,Apr-23,
p20,po509534,2023-03-02,sHK0010210,sN01,sHK0010210sN019794T83,commodity6,7600,7220,8382.42,1161,USD,1000,ss03ss41169ss,Apr-23,
p20,po510031,2023-03-26,sHK0010210,sN01,sHK0010210sN019794T83,commodity4,21400,19474,22628.79,1162,USD,1000,ss03ss464362,Apr-23,
p20,po510158,2023-04-02,sHK0010210,sN01,sHK0010210sN019794T83,commodity1,32400,26892,31275.4,1163,USD,1000,ss03ssssss0ss07,Apr-23,
p20,po510031,2023-03-26,sHK0010210,sN01,sHK0010210sN019794V48,commodity8,24600,18942,22048.49,1164,USD,1000,ss03ss464362,Apr-23,
p20,po510031,2023-03-26,sHK0010210,sN01,sHK0010210sN019794V48,commodity5,6300,5481,6385.37,1165,USD,1000,ss03ss464362,Apr-23,
p20,po510158,2023-04-02,sHK0010210,sN01,sHK0010210sN019794V48,commodity9,19200,19008,22163.33,1166,USD,1000,ss03ssssss0ss07,Apr-23,
p20,po510277,2023-04-06,sHK0010210,sN01,sHK0010210sN019794V48,commodity9,21300,20661,24111.39,1167,USD,1000,ss03ssss61740,Apr-23,
p20,po510277,2023-04-06,sHK0010210,sN01,sHK0010210sN019794V48,commodity9,5400,4482,5234.98,1168,USD,1000,ss03ssss61740,Apr-23,
p20,po509534,2023-03-02,sHK0010210,sN01,sHK0010210sN019794V66,commodity7,14300,13871,16215.2,1169,USD,1000,ss03ss41169ss,Apr-23,
p20,po510158,2023-04-02,sHK0010210,sN01,sHK0010210sN019794V66,commodity5,31200,26208,30663.36,1170,USD,1000,ss03ssssss0ss07,Apr-23,
p20,po510277,2023-04-06,sHK0010210,sN01,sHK0010210sN019794V66,commodity9,51100,48034,56247.81,1171,USD,1000,ss03ssss61740,Apr-23,
p20,po510277,2023-04-06,sHK0010210,sN01,sHK0010210sN019794V66,commodity8,18900,13419,15727.07,1172,USD,1000,ss03ssss61740,Apr-23,
p20,po509534,2023-03-02,sHK0010210,sN01,sHK0010210sN019794V70,commodity9,13900,9869,11576.34,1173,USD,1000,ss03ss41169ss,Apr-23,
p20,po509534,2023-03-02,sHK0010210,sN01,sHK0010210sN019794V70,commodity9,5700,5187,6089.54,1174,USD,1000,ss03ss41169ss,Apr-23,
p20,po510031,2023-03-26,sHK0010210,sN01,sHK0010210sN019794V70,commodity8,5000,3850,4523.75,1175,USD,1000,ss03ss464362,Apr-23,
p20,po510031,2023-03-26,sHK0010210,sN01,sHK0010210sN019794V70,commodity1,13600,10200,11995.2,1176,USD,1000,ss03ss464362,Apr-23,
p20,po510158,2023-04-02,sHK0010210,sN01,sHK0010210sN019794V70,commodity7,2600,1872,2203.34,1177,USD,1000,ss03ssssss0ss07,Apr-23,
p20,po510277,2023-04-06,sHK0010210,sN01,sHK0010210sN019794V70,commodity3,13500,11475,13517.55,1178,USD,1000,ss03ssss61740,Apr-23,
p20,po510277,2023-04-06,sHK0010210,sN01,sHK0010210sN019794V70,commodity2,6500,4940,5824.26,1179,USD,1000,ss03ssss61740,Apr-23,
p20,po509534,2023-03-02,sHK0010210,sN01,sHK0010210sN019794V80,commodity4,12000,10200,12036,1180,USD,1000,ss03ss41169ss,Apr-23,
p20,po509534,2023-03-02,sHK0010210,sN01,sHK0010210sN019794V80,commodity7,9700,7275,8591.78,1181,USD,1000,ss03ss41169ss,Apr-23,
p20,po510031,2023-03-26,sHK0010210,sN01,sHK0010210sN019794V80,commodity1,15700,14915,17629.53,1182,USD,1000,ss03ss464362,Apr-23,
p20,po510031,2023-03-26,sHK0010210,sN01,sHK0010210sN019794V80,commodity9,2700,2106,2491.4,1183,USD,1000,ss03ss464362,Apr-23,
p20,po510031,2023-03-26,sHK0010210,sN01,sHK0010210sN019794V80,commodity5,16000,12800,15155.2,1184,USD,1000,ss03ss464362,Apr-23,
p20,po510158,2023-04-02,sHK0010210,sN01,sHK0010210sN019794V80,commodity3,16100,13524,16025.94,1185,USD,1000,ss03ssssss0ss07,Apr-23,
p20,po510277,2023-04-06,sHK0010210,sN01,sHK0010210sN019794V80,commodity3,21400,20330,24111.38,1186,USD,1000,ss03ssss61740,Apr-23,
p20,po510277,2023-04-06,sHK0010210,sN01,sHK0010210sN019794V80,commodity9,8300,7885,9359.5,1187,USD,1000,ss03ssss61740,Apr-23,
p20,po509896,2023-03-16,sHK0010210,sN01,sHK0010210sN01SC201F069A0,commodity4,152000,112480,118947.6,1057.5,USD,1000,ss03ss411214,Apr-23,
p20,po509948,2023-03-21,sHK0010210,sN01,sHK0010210sN01SC247H024B4,commodity8,255000,211650,225354.34,1064.75,USD,1000,ss03ss442788,Apr-23,
p20,po5038po,2023-05-18,sHK0010299,sN01,sHK0010299sN014210285,commodity6,3000000,2790000,3294990,1181,USD,1000,ss03ssss47268,Apr-23,
p20,po510520,2023-04-16,sHK0011418,sN01,sHK0011418sN01PKVNA11002A,commodity6,1000,740,2611.68,3529.3,USD,1000,ss03ssssssss798,Apr-23,
p20,po509817,2023-03-12,ssG0000015,sN01,ssG0000015sN012351317,commodity4,1080000,928800,3450993.55,3715.54,USD,1000,ss03ss422986,Apr-23,
p20,po509817,2023-03-12,ssG0000015,sN01,ssG0000015sN012351339,commodity7,1908000,1488240,5534139.5,3718.58,USD,1000,ss03ss422986,Apr-23,
p20,po509817,2023-03-12,ssG0000015,sN01,ssG0000015sN012351369,commodity8,14600000,14162000,52644544.22,3717.31,USD,1000,ss03ss422986,Apr-23,
p20,po509817,2023-03-12,ssG0000015,sN01,ssG0000015sN012351373,commodity7,680000,680000,2529416.4,3719.73,USD,1000,ss03ss422986,Apr-23,
p20,po509817,2023-03-12,ssG0000015,sN01,ssG0000015sN012351559,commodity3,9120000,6931200,25780875.65,3719.54,USD,1000,ss03ss422986,Apr-23,
p20,po509818,2023-03-12,ssG0000015,sN01,ssG0000015sN01SC222G045B0,commodity1,7030000,5624000,21074477.76,3747.24,USD,1000,ss03ss411842,Apr-23,
p20,po509447,2023-02-23,sTW0010076,sN01,sTW0010076sN019795660,commodity7,237600,182952,834261.12,4560,USD,1000,ss03ss409217,Apr-23,
